marker,Identifier,Score,Component,Description
ACaunt,Participant 12895915,4,1,Abstract is clear and accurate
ACaunt,Participant 12895915,4,2,Abstract contains correct information
ACaunt,Participant 12895915,3,3,Introduction is clear and accurate
ACaunt,Participant 12895915,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895915,4,5,Introduction outlines specific research area
ACaunt,Participant 12895915,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895915,4,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895915,5,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895915,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895915,5,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895915,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895915,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895915,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895915,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895915,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895915,5,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895915,5,18,Discussion correctly interprets findings
ACaunt,Participant 12895915,5,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895915,5,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895915,5,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895915,5,22,Discussion concludes appropriately.
ACaunt,Participant 12895915,4,23,Overall clarity of writing
ACaunt,Participant 12895915,4,24,Overall quality of grammar and spelling
ACaunt,Participant 12895915,5,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895915,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895718,2,1,Abstract is clear and accurate
ACaunt,Participant 12895718,2,2,Abstract contains correct information
